Theta	Phi	Total-adj
105	1	-7.2817
106	1	-9.8789
107	1	-8.6275
108	1	-7.4557
109	1	-8.694
110	1	-10.6887
111	1	-3.4689
112	1	-5.1639
113	1	-0.2092
114	1	-2.966
115	1	-2.3815
116	1	-1.6375
117	1	-1.2826
118	1	-0.2645
119	1	-1.5153
120	1	-0.1349
121	1	-1.0708
122	1	-2.2087
123	1	-0.6748
124	1	-0.7142
125	1	-1.2096
126	1	0.7894
127	1	4.4845
128	1	3.974
129	1	3.3817
130	1	0.3345
131	1	-0.0065
132	1	0.6239
133	1	0.8152
134	1	-2.0128
135	1	-0.6124
136	1	-9.6155
137	1	-5.9951
138	1	-1.6028
139	1	-1.6545
140	1	-0.8921
141	1	0.1015
142	1	-0.3013
143	1	-0.9727
144	1	-0.1246
145	1	-0.846
146	1	0.6316
147	1	0.7186
148	1	0.1838
149	1	0.2787
150	1	-0.6497
151	1	1.5013
152	1	-1.3219
153	1	1.2229
154	1	1.7157
155	1	2.2251
156	1	0.6658
157	1	-0.5948
158	1	-0.2913
159	1	-3.1279
160	1	-2.6826
161	1	-4.9719
162	1	-3.9352
163	1	-0.3614
164	1	-3.7861
165	1	-1.8758
166	1	-3.1338
167	1	-5.6863
168	1	1.3578
169	1	-1.8099
170	1	-1.4092
171	1	-2.7017
172	1	-2.7435
173	1	-9.5299
174	1	-8.5965
175	1	-6.8446
176	1	-4.4081
177	1	-8.7973
178	1	-8.2777
179	1	3.2722
180	1	2.089276375
0	2	-1.896639858
1	2	-2.421603654
2	2	-2.676513469
3	2	-0.070998649
4	2	-2.312807899
5	2	-7.628338688
6	2	-10.25052004
7	2	-5.944987237
8	2	-10.19016309
9	2	-10.05456329
10	2	-21.13308534
11	2	-27.08469275
12	2	-13.00653283
13	2	-9.550965413
14	2	-5.328675341
15	2	1.743527386
16	2	2.085202663
17	2	1.253814801
18	2	-1.668415568
19	2	5.288039192
20	2	3.676676937
21	2	-2.612321687
22	2	0.938443724
23	2	0.505808586
24	2	-6.860887265
25	2	-12.99893015
26	2	-9.878232317
27	2	-9.697742213
28	2	-10.86016226
29	2	-11.7435402
30	2	-5.19845701
31	2	-8.533320899
32	2	-8.396312357
33	2	-10.35192122
34	2	-4.60588321
35	2	-2.297776838
36	2	-2.821722138
37	2	0.939965419
38	2	-0.175255944
39	2	1.243766878
40	2	-3.101326257
41	2	-1.720289966
42	2	-1.676005379
43	2	-3.00987423
44	2	-0.133330982
45	2	-1.7021453
46	2	-2.371196868
47	2	-1.340673026
48	2	-0.019054371
49	2	-0.152661679
50	2	1.57570991
51	2	-1.108742736
52	2	-1.516931785
53	2	-1.742536536
54	2	-3.251379481
55	2	-0.971442093
56	2	3.521390631
57	2	2.106754776
58	2	-1.980052087
59	2	-1.236727447
60	2	0.860297366
61	2	0.80600897
62	2	0.471940914
63	2	-0.218889704
64	2	-10.4479092
65	2	-1.271119194
66	2	-1.359916342
67	2	-1.931798737
68	2	-1.369659851
69	2	-1.74992253
70	2	-2.46918984
71	2	-1.389005484
72	2	-1.82718735
73	2	-1.052267167
74	2	-1.281538579
75	2	-4.774384174
76	2	-3.100752308
77	2	-5.558322941
78	2	-5.908121136
79	2	-6.546928708
80	2	-9.342086288
81	2	-9.815283622
82	2	-15.14746767
83	2	-12.05126593
84	2	-9.725558944
85	2	-10.07899103
86	2	-10.42716758
87	2	-11.01807794
88	2	-9.199346137
89	2	-0.80843587
90	2	-17.69350007
91	2	-11.32455412
92	2	-12.86744718
93	2	-28.45569574
94	2	-22.76333142
95	2	-22.78598538
96	2	-31.34301765
97	2	-26.35331021
98	2	-8.959560473
99	2	-8.155773639
100	2	-13.52692122
101	2	-5.45302647
102	2	-15.30863452
103	2	-11.32985215
104	2	-14.70872284
105	2	-7.356743102
106	2	-11.80273715
107	2	-6.336145125
108	2	-7.064752165
109	2	-9.072230446
110	2	-4.798329264
111	2	-4.258672841
112	2	-2.383007797
113	2	-0.860725662
114	2	-1.159544769
115	2	-3.096085362
116	2	-3.401637203
117	2	-0.999637203
118	2	-1.251221484
119	2	-0.414818763
120	2	1.306883551
121	2	-1.340253935
122	2	0.554461838
123	2	-1.882984727
124	2	-0.858256242
125	2	-0.174683465
126	2	0.074857981
127	2	-1.158924115
128	2	0.121728777
129	2	2.347357593
130	2	2.830719525
131	2	1.553765149
132	2	-2.865420789
133	2	0.713880906
134	2	-1.090133689
135	2	-8.044552133
136	2	-20.67009871
137	2	-16.38581841
138	2	0.502276375
139	2	0.811665369
140	2	-1.580457385
141	2	-1.060479559
142	2	0.876343796
143	2	-1.237117659
144	2	0.753660958
145	2	-1.25202841
146	2	-4.912890771
147	2	0.378702438
148	2	2.082450831
149	2	3.819303734
150	2	2.892487099
151	2	4.957320869
152	2	3.424260438
153	2	-1.332054024
154	2	-0.122213826
155	2	2.225195094
156	2	-0.018581186
157	2	-0.538330982
158	2	-2.252055721
159	2	-1.545979672
160	2	-1.620045673
161	2	0.437309034
162	2	-7.453081894
163	2	-9.018104256
164	2	-2.197430005
165	2	-6.132332281
166	2	-6.249452741
167	2	-6.430719314
168	2	-4.779430204
169	2	-1.58304277
170	2	-1.762091421
171	2	-5.012194765
172	2	-4.657464756
173	2	-6.851255289
174	2	-8.110833757
175	2	-9.52458419
176	2	-2.617575549
177	2	-6.649832532
178	2	-7.356573096
179	2	3.346467282
180	2	2.089136167
0	3	-1.896250239
1	3	-2.407113154
2	3	-2.851833694
3	3	-0.113218967
4	3	-2.571573421
5	3	-7.445847669
6	3	-17.37900497
7	3	1.904631521
8	3	-12.24472525
9	3	-2.541635055
10	3	-8.785078792
11	3	-12.18188762
12	3	-15.45135616
13	3	-8.016796532
14	3	-3.566825781
15	3	-3.807722595
16	3	-1.380193632
17	3	0.578379991
18	3	-0.478759906
19	3	-0.71703183
20	3	-0.257467201
21	3	-4.667468617
22	3	-7.275450697
23	3	-4.527501523
24	3	-2.224345737
25	3	-27.93430104
26	3	-6.956175904
27	3	-7.090744978
28	3	-4.984775574
29	3	-8.807634616
30	3	-9.187090778
31	3	-6.016784507
32	3	-10.19237488
33	3	-5.6492271
34	3	-4.96310519
35	3	-2.675715357
36	3	-0.933818613
37	3	-0.222123754
38	3	1.390301813
39	3	3.71249995
40	3	-2.353869763
41	3	-1.129972129
42	3	-4.135620128
43	3	-3.473406526
44	3	-1.557763184
45	3	-3.07166384
46	3	-0.641441575
47	3	1.837547217
48	3	-2.59207933
49	3	-1.027695668
50	3	-0.943206687
51	3	-1.067096571
52	3	-1.605917805
53	3	-1.121640118
54	3	-1.248775672
55	3	-0.846538174
56	3	-1.127953681
57	3	1.768347667
58	3	3.078703935
59	3	2.64546885
60	3	1.939714798
61	3	0.380916228
62	3	1.97604387
63	3	-2.129908696
64	3	-0.979235115
65	3	-0.527842965
66	3	-2.079082582
67	3	-1.023833421
68	3	-0.899766017
69	3	-0.859166163
70	3	-0.352770049
71	3	-1.417662681
72	3	-1.336487173
73	3	0.180263134
74	3	-0.597211416
75	3	0.574860534
76	3	-1.760276137
77	3	-2.932160332
78	3	-6.154501075
79	3	2.048677818
80	3	-13.67023029
81	3	-1.322280523
82	3	-5.435381842
83	3	-2.745907958
84	3	-1.954035178
85	3	1.824357447
86	3	0.6675625
87	3	-0.698090687
88	3	-5.059335433
89	3	-5.280871798
90	3	-3.581420581
91	3	-14.65520327
92	3	-16.30799228
93	3	-10.71157031
94	3	-10.31431316
95	3	-32.4536515
96	3	-17.07112003
97	3	-8.63110189
98	3	-8.865353881
99	3	-23.1175926
100	3	-10.58043412
101	3	-9.227932085
102	3	-11.19332848
103	3	-14.04576876
104	3	-16.19808262
105	3	-7.640935354
106	3	-5.868478837
107	3	-8.939530725
108	3	-9.511520506
109	3	-7.429480235
110	3	-1.884818332
111	3	-3.397069874
112	3	-1.257175302
113	3	-3.017089949
114	3	-0.213878937
115	3	-0.361716022
116	3	-3.526494677
117	3	-1.923620018
118	3	-0.249150242
119	3	0.216065383
120	3	-0.647937928
121	3	-0.682102703
122	3	-1.639669096
123	3	-1.927447177
124	3	-1.640172372
125	3	-1.153625429
126	3	0.370407308
127	3	1.8391623
128	3	2.472353794
129	3	3.274969521
130	3	0.847633403
131	3	0.278077385
132	3	-0.290969563
133	3	0.121985491
134	3	-0.189985575
135	3	-2.271432945
136	3	-2.744929236
137	3	-7.728217452
138	3	-7.998062195
139	3	0.993910143
140	3	-0.29969816
141	3	-2.115692737
142	3	-0.696750783
143	3	-1.630790868
144	3	-1.112366227
145	3	-0.096710068
146	3	-1.546694816
147	3	3.746943994
148	3	4.19188386
149	3	2.969441117
150	3	3.651186177
151	3	1.446494971
152	3	1.483610845
153	3	-0.749932075
154	3	-3.731969634
155	3	-1.263831317
156	3	2.251560538
157	3	3.652724045
158	3	-3.884438174
159	3	-3.125724781
160	3	-6.138250317
161	3	-6.848212083
162	3	-2.392633613
163	3	0.579971399
164	3	-9.528936471
165	3	-4.449601241
166	3	-4.614242059
167	3	-0.680881277
168	3	-3.529314334
169	3	-9.827782192
170	3	0.134060376
171	3	-4.854119668
172	3	-8.825306477
173	3	-9.224233591
174	3	-4.989764729
175	3	-10.35416994
176	3	-8.017612183
177	3	-0.128788993
178	3	-6.831695556
179	3	2.645231519
180	3	2.0890579
0	4	-1.896501366
1	4	-2.36645434
2	4	-2.757732528
3	4	-0.686864246
4	4	-2.712195439
5	4	-7.798381916
6	4	-12.19952075
7	4	2.320366271
8	4	-11.71477194
9	4	-3.270078919
10	4	-9.11118648
11	4	-14.70503198
12	4	-8.150623061
13	4	-2.68681877
14	4	-1.407075554
15	4	-1.713246357
16	4	2.615009327
17	4	0.934687409
18	4	-1.061520328
19	4	4.565773779
20	4	-2.25966297
21	4	-1.506004148
22	4	-1.482577397
23	4	-0.204369124
24	4	-12.07103279
25	4	-5.433227027
26	4	-6.67687891
27	4	-7.519790768
28	4	-12.23357908
29	4	-12.6109557
30	4	-7.515422821
31	4	-7.878508435
32	4	-8.234472438
33	4	-5.611531419
34	4	-4.556775197
35	4	-2.081450666
36	4	-0.424716416
37	4	0.813795043
38	4	2.234664567
39	4	-0.28312306
40	4	4.248846944
41	4	-0.598927051
42	4	0.511473647
43	4	2.413770977
44	4	-0.625689135
45	4	-2.348573462
46	4	-1.749048425
47	4	-1.117359126
48	4	-1.621876315
49	4	-1.183040745
50	4	-2.733140853
51	4	-1.39805205
52	4	-1.123544844
53	4	-1.968848718
54	4	-1.502703191
55	4	-1.860737155
56	4	0.692333949
57	4	0.33735082
58	4	-1.671600034
59	4	0.186482537
60	4	3.102947501
61	4	-1.080057245
62	4	-1.238477427
63	4	-1.368400362
64	4	-0.210345737
65	4	-1.047232267
66	4	0.224242502
67	4	-0.248602038
68	4	-0.648472438
69	4	-1.220589253
70	4	-2.170507605
71	4	-2.218030708
72	4	-3.462977606
73	4	-1.107289684
74	4	-6.93450699
75	4	-4.823305348
76	4	0.295238249
77	4	1.150059712
78	4	0.559670353
79	4	-0.366323063
80	4	-1.02489684
81	4	1.007444571
82	4	-0.706735892
83	4	-6.786567598
84	4	-2.362977676
85	4	-2.683236681
86	4	-2.264298198
87	4	-0.847797337
88	4	-3.507146856
89	4	-4.635285717
90	4	-5.046269689
91	4	-11.12310836
92	4	-11.44927616
93	4	-12.48285101
94	4	-8.729228491
95	4	-24.82740313
96	4	-15.74413937
97	4	-15.56933829
98	4	-11.84156108
99	4	-13.36084102
100	4	-12.76372612
101	4	-14.43045246
102	4	-21.32185894
103	4	-4.969311912
104	4	-15.49034813
105	4	-13.58360803
106	4	-4.948338895
107	4	-3.451579674
108	4	-6.079598539
109	4	-8.797832532
110	4	-8.106575267
111	4	-8.177263449
112	4	-1.492227638
113	4	-4.28410653
114	4	-1.408587217
115	4	3.493390668
116	4	0.425953166
117	4	-1.01135351
118	4	-0.971527728
119	4	-0.802588865
120	4	-1.841063012
121	4	1.221441642
122	4	-0.733847225
123	4	-0.443912186
124	4	-0.947589253
125	4	-0.638825781
126	4	-1.063224742
127	4	0.128314614
128	4	4.04484834
129	4	5.403010597
130	4	1.763974581
131	4	0.740752598
132	4	-2.318356315
133	4	3.191668283
134	4	6.397545154
135	4	3.641029795
136	4	2.848886984
137	4	-1.045026846
138	4	-0.790128372
139	4	-0.519481013
140	4	-1.99207967
141	4	-1.635716673
142	4	-0.600646815
143	4	-3.274813995
144	4	1.155176604
145	4	-0.684600956
146	4	0.517728339
147	4	1.844161999
148	4	3.076334874
149	4	2.780204226
150	4	2.19259203
151	4	3.765027474
152	4	4.340541794
153	4	0.511852642
154	4	0.640410283
155	4	1.505201559
156	4	-0.331442289
157	4	4.490455896
158	4	-4.932369243
159	4	-5.362089974
160	4	-12.7468896
161	4	-9.59522918
162	4	1.037653269
163	4	-4.780396199
164	4	-6.445583167
165	4	-3.210250155
166	4	-9.890347589
167	4	-6.243777817
168	4	-2.319119703
169	4	-9.307446369
170	4	-1.347647919
171	4	-7.198030708
172	4	-6.186318882
173	4	-6.509796197
174	4	-3.732080824
175	4	-7.637277072
176	4	-10.03764299
177	4	-5.824259091
178	4	-7.165164961
179	4	2.630296284
180	4	2.089384475
0	5	-1.896376653
1	5	-2.309579923
2	5	-2.58561621
3	5	-1.138870349
4	5	-3.207915076
5	5	-7.367767563
6	5	-12.38476292
7	5	2.484729357
8	5	-10.7312411
9	5	-8.055545202
10	5	-8.902790868
11	5	-13.85239816
12	5	-10.83005996
13	5	-8.006627453
14	5	-8.70799293
15	5	-5.2869611
16	5	1.733827415
17	5	2.936393788
18	5	4.972477434
19	5	2.892845744
20	5	-3.684768885
21	5	-3.445959433
22	5	-10.97718912
23	5	-3.460837378
24	5	-5.048913752
25	5	-4.399069505
26	5	-5.962503534
27	5	-6.833352351
28	5	-7.246878881
29	5	-5.652114233
30	5	-3.934696297
31	5	-6.570048846
32	5	-6.603583824
33	5	-0.10838279
34	5	-3.326594861
35	5	-2.24801432
36	5	-1.690769133
37	5	0.037168822
38	5	3.946560538
39	5	2.522717807
40	5	1.200027693
41	5	1.188426584
42	5	0.09565336
43	5	1.592822315
44	5	0.088894722
45	5	-0.147952638
46	5	-0.268070858
47	5	0.056889494
48	5	0.106983706
49	5	0.614361253
50	5	-0.676357086
51	5	-1.749531419
52	5	-1.424480734
53	5	-1.508381916
54	5	-1.625768918
55	5	-1.684821152
56	5	-1.128585362
57	5	-0.949256242
58	5	0.021771805
59	5	-1.456482512
60	5	-1.569150546
61	5	-0.008183467
62	5	0.410382918
63	5	-0.309055809
64	5	0.164578188
65	5	-0.669904611
66	5	-1.707086584
67	5	-0.882966521
68	5	-2.300286731
69	5	-2.271285591
70	5	-1.78422134
71	5	-0.400683621
72	5	-2.040043349
73	5	0.92197514
74	5	-2.6548019
75	5	-1.455318645
76	5	-1.182051087
77	5	-3.476048885
78	5	2.037052105
79	5	0.870258465
80	5	-2.28428318
81	5	-1.313689035
82	5	-1.231096948
83	5	-0.468258395
84	5	-1.067586573
85	5	-0.692574829
86	5	-0.716109177
87	5	-5.477491694
88	5	-6.904441264
89	5	-9.445696297
90	5	-12.40789853
91	5	-6.769550254
92	5	-33.15783862
93	5	-17.05098742
94	5	-10.42829666
95	5	-10.15181271
96	5	-10.85804666
97	5	-10.98224522
98	5	-16.60027469
99	5	-13.69969203
100	5	-13.68056505
101	5	-13.46638436
102	5	-10.00667414
103	5	-6.008298008
104	5	-7.284680587
105	5	1.493815755
106	5	-0.370410749
107	5	-5.948173086
108	5	-1.477631128
109	5	-7.791419327
110	5	-7.647291349
111	5	-1.891604651
112	5	-6.75525454
113	5	-1.439319504
114	5	2.766689122
115	5	3.51467721
116	5	2.673877306
117	5	1.816728339
118	5	-1.93882322
119	5	1.234184689
120	5	0.853656327
121	5	-1.289102985
122	5	-0.571065322
123	5	-0.3552203
124	5	0.191298121
125	5	0.587847401
126	5	2.563119122
127	5	-5.752874379
128	5	0.800038937
129	5	-1.296116819
130	5	0.713780607
131	5	0.787353572
132	5	-0.36749001
133	5	0.591639633
134	5	-0.451119511
135	5	1.052445044
136	5	-1.704683474
137	5	-17.18682281
138	5	-10.21034537
139	5	-4.487192876
140	5	-4.167681522
141	5	0.604593058
142	5	1.4448719
143	5	-1.268888324
144	5	0.354711152
145	5	-0.727191725
146	5	1.662754052
147	5	4.25261629
148	5	2.753992515
149	5	3.927850624
150	5	-0.865600947
151	5	2.232387863
152	5	2.135269025
153	5	1.653764294
154	5	0.563553516
155	5	0.501528034
156	5	1.533033531
157	5	3.468114223
158	5	2.071009575
159	5	-0.509947163
160	5	-5.37016556
161	5	-4.307967144
162	5	-4.165683125
163	5	-2.094657314
164	5	-5.708073041
165	5	-6.248221473
166	5	-3.747066176
167	5	-0.168006766
168	5	-0.077142917
169	5	-3.974923371
170	5	-13.26679193
171	5	-11.63843327
172	5	-5.442790709
173	5	-5.858046789
174	5	-5.929031827
175	5	-7.416617356
176	5	-6.273258209
177	5	-7.033519115
178	5	-6.856979497
179	5	2.654228173
180	5	2.089018388
0	6	-1.896378044
1	6	-2.261634353
2	6	-2.662824487
3	6	-1.00130104
4	6	-3.847257498
5	6	-5.817467777
6	6	-9.552871351
7	6	2.790463492
8	6	-9.695107551
9	6	-4.226593802
10	6	-20.12843479
11	6	-7.978918866
12	6	-12.65518556
13	6	-13.71047948
14	6	-7.502766542
15	6	2.177683026
16	6	-0.986571189
17	6	1.347914704
18	6	0.726409785
19	6	0.176531357
20	6	-0.637068678
21	6	-2.835724636
22	6	-2.760258242
23	6	-1.178399452
24	6	-2.021308067
25	6	-14.39749591
